"Longitude(x)"	"Latitude(y)"	"Clytolaema_rubricauda"	"Heliodoxa_aurescens"	"Heliodoxa_branickii"	"Heliodoxa_gularis"	"Heliodoxa_imperatrix"	"Heliodoxa_jacula"	"Heliodoxa_leadbeateri"	"Heliodoxa_rubinoides"	"Heliodoxa_schreibersii"	"Heliodoxa_xanthogonys"	"Hylonympha_macrocerca"	"Sternoclyta_cyanopectus"
"307"	-67.25	10.25	0	0	0	0	0	0	1	0	0	0	0	1
"308"	-67.15	10.25	0	0	0	0	0	0	1	0	0	0	0	1
"309"	-67.05	10.25	0	0	0	0	0	0	1	0	0	0	0	0
"310"	-66.95	10.25	0	0	0	0	0	0	1	0	0	0	0	0
"311"	-66.85	10.25	0	0	0	0	0	0	1	0	0	0	0	0
"312"	-66.75	10.25	0	0	0	0	0	0	1	0	0	0	0	0
"313"	-66.65	10.25	0	0	0	0	0	0	1	0	0	0	0	0
"314"	-66.55	10.25	0	0	0	0	0	0	1	0	0	0	0	0
"315"	-66.45	10.25	0	0	0	0	0	0	1	0	0	0	0	0
"316"	-66.35	10.25	0	0	0	0	0	0	1	0	0	0	0	0
"317"	-66.25	10.25	0	0	0	0	0	0	1	0	0	0	0	0
"318"	-66.15	10.25	0	0	0	0	0	0	1	0	0	0	0	0
"319"	-84.35	10.15	0	0	0	0	0	1	0	0	0	0	0	0
"320"	-84.25	10.15	0	0	0	0	0	1	0	0	0	0	0	0
"321"	-84.15	10.15	0	0	0	0	0	1	0	0	0	0	0	0
"322"	-84.05	10.15	0	0	0	0	0	1	0	0	0	0	0	0
"323"	-72.95	10.15	0	0	0	0	0	0	1	0	0	0	0	0
"324"	-72.85	10.15	0	0	0	0	0	0	1	0	0	0	0	0
"325"	-70.85	10.15	0	0	0	0	0	0	1	0	0	0	0	0
"326"	-70.75	10.15	0	0	0	0	0	0	1	0	0	0	0	0
"327"	-70.65	10.15	0	0	0	0	0	0	1	0	0	0	0	0
"328"	-70.55	10.15	0	0	0	0	0	0	1	0	0	0	0	0
"329"	-70.45	10.15	0	0	0	0	0	0	1	0	0	0	0	0
"330"	-70.35	10.15	0	0	0	0	0	0	1	0	0	0	0	0
"331"	-70.25	10.15	0	0	0	0	0	0	1	0	0	0	0	0
"332"	-70.15	10.15	0	0	0	0	0	0	1	0	0	0	0	1
"333"	-70.05	10.15	0	0	0	0	0	0	1	0	0	0	0	1
"334"	-69.95	10.15	0	0	0	0	0	0	1	0	0	0	0	1
"335"	-69.85	10.15	0	0	0	0	0	0	1	0	0	0	0	1
"336"	-69.75	10.15	0	0	0	0	0	0	1	0	0	0	0	1
"337"	-69.65	10.15	0	0	0	0	0	0	1	0	0	0	0	1
"338"	-69.55	10.15	0	0	0	0	0	0	1	0	0	0	0	1
"339"	-69.45	10.15	0	0	0	0	0	0	1	0	0	0	0	1
"340"	-69.35	10.15	0	0	0	0	0	0	1	0	0	0	0	1
"341"	-69.25	10.15	0	0	0	0	0	0	1	0	0	0	0	1
"342"	-69.15	10.15	0	0	0	0	0	0	1	0	0	0	0	0
"343"	-69.05	10.15	0	0	0	0	0	0	1	0	0	0	0	0
"344"	-68.95	10.15	0	0	0	0	0	0	1	0	0	0	0	0
"345"	-68.85	10.15	0	0	0	0	0	0	1	0	0	0	0	0
"346"	-68.75	10.15	0	0	0	0	0	0	1	0	0	0	0	0
"347"	-68.65	10.15	0	0	0	0	0	0	1	0	0	0	0	0
"348"	-68.55	10.15	0	0	0	0	0	0	1	0	0	0	0	0
"349"	-68.45	10.15	0	0	0	0	0	0	1	0	0	0	0	0
"350"	-68.35	10.15	0	0	0	0	0	0	1	0	0	0	0	0
